team,log_attack,log_defence,matches_played,log_attack_shrunk,log_defence_shrunk,attack_shrunk,defence_shrunk,net_raw,net_shrunk
Liberia,0.11703878696235177,-0.10796833549570359,64,0.04567427961713211,-0.04213398458368921,1.0467334130169137,0.9587413154104902,0.22500712245805538,0.08780826420082131
Slovakia,0.7435470064711917,0.6225830060088353,200,0.4956983359528582,0.4150553373392235,1.6416442580645423,1.5144545442581479,0.12096400046235634,0.08064299861363472
Burkina Faso,0.6458899451758067,0.45671876254817745,70,0.2659552685525036,0.18806066693160248,1.304676697304458,1.2069067324568428,0.18917118262762922,0.07789460162090114
Nicaragua,-0.10818329603917747,-0.4156316751784934,33,-0.026841723892283488,-0.10312665624729536,0.9735153135456857,0.9020127207000384,0.30744837913931594,0.07628493235501188
Jordan,0.6945900765667622,0.5573962083915035,98,0.343787510076575,0.2758829718301381,1.4102789336043793,1.3176936477276215,0.1371938681752587,0.06790453824643689
Estonia,0.16276583131408534,0.06269084029758491,181,0.10484240199099146,0.0403809327183732,1.1105355783676372,1.0412073285953916,0.10007499101650043,0.06446146927261825
Montenegro,0.3646615576826901,0.2402082453684317,107,0.18849703460708692,0.12416561475566275,1.207433502466555,1.1322033650565198,0.12445331231425841,0.06433141985142417
Namibia,0.029134314755779142,-0.14159625080479957,56,0.010459109730402464,-0.05082942336582549,1.0105139974104318,0.9504407796951988,0.1707305655605787,0.06128853309622795
Montserrat,-0.6271574067679826,-1.0489557367559752,17,-0.09112458481569702,-0.15241237200727845,0.9129039698413768,0.8586341310452947,0.4217983299879926,0.06128778719158143
Romania,0.8027949176374519,0.714154710957439,214,0.5471280632676238,0.486716904920038,1.7282823659742605,1.6269659581196,0.08864020668001293,0.06041115834758576
Cape Verde,0.520386892528474,0.34078305689676336,50,0.17346296078695236,0.11359435229892112,1.1894166308977219,1.1202975865586609,0.17960383563171067,0.059868608488031244
